MUNICÍPIO,NOME DA BIBLIOTECA,ENDEREÇO DE ENTREGA,ORGÃO PÚBLICO RESPONSÁVEL,SERVIDOR PÚBLICO RESPONSÁVEL,CONTATO
ITAPORANGA D'AJUDA,"Biblioteca Pública Municipal Padre Everaldo Lima
Viana",Rua Coronel domingos Dias S/N,Secretário de Cultura e Turismo,Palmiro Fontes de Oliveira,"79- 3264-2738 /
32642700"
JAPARATUBA,"Biblioteca Pública Municipal  Julita Dorotheu
Guimarães",Av. Otávio Aciole Sobral 311,Educação,Marilza dos Santos,999582427
JAPOATÃ,Biblioteca Pública Municipal Maria José Vieira Caldas,"Praça Dr. Eronildes de Carvalho,  S/N","Educação, Cultura, Esporte e Lazer",José Davi Nascimento Silva,79999550090
LAGARTO,Biblioteca Pública Municipal Maria Alice Cirila Da Silva,"Av. Presidente Kennedy, 302",Secretaria Municipal de Cultura,"Geraldine Leal Martins /
Assuero Cardoso Barbosa",79996615570
LAGARTO,Biblioteca Pública Municipal  José Vicente De Carvalho,"Av. Presidente Kennedy, 302",Secretaria Municipal de Cultura,"Geraldine Leal Martins /
Assuero Cardoso Barbosa",79996615570
LARANJEIRAS,Biblioteca Pública Municipal João Ribeiro,Rua Tobias Barreto,"Secretaria Municipal de
Cultura e Turismo",Plácido Lyra,79.998.098.979
MACAMBIRA,Biblioteca Pública Municipal Padre Raul Borges,Av. Ana Luiza Dortas Valadares s/n,Secretaria da Educação,Charles de Carvalho,79 9 9823-6836
MALHADA DOS BOIS,"Biblioteca Pública Municipal  Liege Aguiar Caldas
Vieira","RUA C CONJUNTO MARIA ROSA SILVA,112, CENTRO",Secretaria de Educação e Cultura,Mônica Almeida Santos,9.9816  8479
MALHADOR,Biblioteca Pública Municipal Silvina Alves Dos Santos,Rua Ananias dos santos,Secretaria de educação,Rosileide leandro da silva costa,79.981.596.441
MARUIM,Biblioteca Pública Municipal Josias Vieira Dantas,Praça Barão de Maruim s/n,"Secretaria Municipal de
Cultura e Turismo","Joelma Ferreira Martins
Santos",79 98108-4075
MOITA BONITA,Biblioteca Pública Municipal Moita Bonita,Rua São Vicente n°126,A secretaria de Cultura,"Maria lenecleide de Jsus
Ferraz",793.451.135
MONTE ALEGRE,"Biblioteca Pública Municipal Elizabete Soares Dos
Santos",Praça Presidente Medice s/n,Secretaria municipal de educação,Aliny Kelly Amorim Santana,(79) 99818-2057
MURIBECA,Biblioteca Pública Municipal Jailson Pinheiro Silva,"Av. Almirante Barroso, 640",Educação,Maria Ivone Correia Matos,"79 33421215 /
79996602723"
NEÓPOLIS,Biblioteca Pública Municipal Joaquim Valadão Bastos,"Av. Getúlio Vargas, Neópolis","Secretaria Municipal da Educação, do Desporto e
Lazer",Amilton Amorim Santos,33.441.200
"NOSSA SENHORA
APARECIDA",Biblioteca Pública Municipal João Muniz Filho,"Rua José Wilson Menezes , 269",Secretária de Cultura esporte e lazer,Sheila Cristina Silva Melo,99912_4219
NOSSA SENHORA DA GLÓRIA,Biblioteca Pública Municipal Monteiro Lobato,"Praça Filemon Bezerra Lemos, 256",Secretaria Municipal de Educação e Cultura,Miriam Amaral Pereira,79 99954 0327
NOSSA SENHORA DAS DORES,Biblioteca Pública Municipal Álvaro De Souza Brito,"Rua Gildo de Souza, Centro",Secretaria de cultura,Matheus Garcia Santana,79999478573
"NOSSA SENHORA DE
LOURDES","Biblioteca Pública Municipal Lindinalva Rodrigues De
Oliveira","Av. Sen. Leite Neto, 121","Secretaria de Educação, Cultura",Moana Ferreira dos Santos,996578708
"NOSSA SENHORA DO
SOCORRO",Biblioteca Pública Municipal Alaide dos Santos,"R. Padre Manoel Gomes, 102-382",Secretário de Cultura,Edenilton Sales trabalha,"9 9634 9125 /
9.8816.0879"
PACATUBA,Biblioteca Pública Municipal  Professor Robson,"Praça 31 Março, 39","Secretaria Municipal de
Cultura","Genivaldo Vieira dos
Santos",998.951.727
PEDRA MOLE,"Biblioteca Pública Municipal Pedro De Ferreira Do
Nascimento",PRAÇA DOS ESTUDANTES S/N.,Secretaria Municipal de Educação,ADILMA DE JESUS SANTOS,999742149
PEDRINHAS,Biblioteca Pública Municipal Comunitária Santa Terezinha Do Menino Jesus,RUA DO RIAÇÃO Nº119,"Secretaria Municipal de Educação, Cultura e
Lazer",CLEISY SILVA ALVES,79999501291
PINHÃO,"Biblioteca Pública Municipal Pedro De Ferreira Do
Nascimento",Avenida José Hollemberg Leite,Secretaria de Educação,Cristiane dos Santos,"79999663804 /
34611242"
PIRAMBU,Biblioteca Pública Municipal de Pirambu,"Rua Gonçalo Rolemberg, s/n,
Pirambu","Secretaria Municipal de
Cultura",Thiagony,9 9178 0217
POÇO REDONDO,"Biblioteca Pública Municipal Governador Arnaldo
Rollemberg Garcez",Avenida Poço Redondo - s/n An 1,Educação,Elizana,9 9939 2663
POÇO VERDE,Biblioteca Pública Municipal Epifanio da Fonseca,"Av. Santa Cruz, S/N",Prefeitura,Magna Cardoso Oliveira,79.998.182.001
PORTO DA FOLHA,"Biblioteca Pública Municipal Frei Honório Rito de
Leão Brasil",Av. Minervino de Farias Lima,Cultura,Maria Meire de Freitas Souza,999.724.135
PRÓPRIA,Biblioteca Pública Municipal  Professor Robson,"R. Dom José Vicente Távora, 185",Cultura,Renisson Félix,9 9958 9239
RIACHÃO DO DANTAS,Biblioteca Pública Municipal Osman Hora Fontes,Travessa Frei Idelfonso S/N,Secretaria de Educação,"José Sérgio Costa
França",999186040
RIACHUELO,Biblioteca Pública Municipal Alaíde Ribeiro Leite,Largo de São João nº5 Centro / casa,Educação e Cultura,Alcilene Rezende,"9 9855 7562 /
79988058101"
RIBEIRÓPOLIS,Biblioteca Pública Municipal Maria Ceres Silva,Av Leandro Maciel s/n,Secretaria de Educação,Maria Jeane,9 9900 1334
ROSÁRIO DO CATETE,"Biblioteca Pública Municipal João Batista De Morais
Ribeiro",Travessa Luiz Garcia,Educação,Elton Lima,9 8833 5987
SALGADO,Biblioteca Pública Municipal Ivonete Salgueiro,"Rua Felinto Alves de Carvalho, s/n",Educação,Claudinete coordenadora,"(79) 3651-1333 /
79999201761"
SANTA LUZIA DO ITANHI,Biblioteca Pública Municipal Camilo Calazans,Praça Getúlio Vargas S/N,"Secretaria Municipal de
Educação",Rosa Cristina Cardoso,79 9609-8987
SANTA ROSA DE LIMA,Biblioteca Pública Municipal de Santa Rosa de Lima,"R. Alzira Azevedo, 81",Educação,Fabiana,9 9848 3490
"SANTANA DO SÃO
FRANCISCO",Biblioteca Pública Municipal Messias da Silva Passos,"Rua E, 2, Santana do São Francisco",Secretaria de Educação,Svetlana da Silva Ribeiro Chaves,999.899.372
SANTO AMARO DAS BROTAS,Biblioteca Pública Municipal Manoel dos Santos,"R. Sd. Evaristo, 75",Secretaria de Cultura,Márcio (coordenador),32.661.215
SÃO CRISTOVÃO,Biblioteca Pública Municipal Prof. Luiz Alberto,"Praça São Francisco, S/N - Centro Histórico; São Cristóvão/SE - CEP
49100-000","Fundação Municipal de Cultura e Turismo ""João
Bebe Água""",Rafaela Pereira dos Santos,79 98825-1314
SÃO CRISTOVÃO,Biblioteca Pública Municipal Senador Lourival Baptista,"Rua Horácio Souza Lima, 148 - Rosa Elze - São Cristóvão/SE - CEP 49100-
000","Fundação Municipal de Cultura e Turismo ""João
Bebe Água""",Rafaela Pereira dos Santos,79 98825-1314
SÃO DOMINGOS,Biblioteca Pública Municipal Rui Barbosa,Praça José Mecenas Filho,"Secretaria Municipal da
Educação",Josefa Basto de Araujo,79.998.798.506
SÃO FRANCISCO,"Biblioteca Pública Municipal Neildes Marques do
Nascimento","São Francisco - SE, 49945-000",Educação,Renato Rodrigues Santos,9 9830 9019
SÃO MIGUEL DO ALEIXO,"Biblioteca Pública Municipal Deputado Baltazar
Francisco dos Santos",Av. 26 de Novembro,Secretaria de Cultura,Elaine Barreto,999957161
SIMÃO DIAS,Biblioteca Pública Municipal Lucila Macedo Déda,"Rua Cônego Andrade, 224","Secretaria Municipal de
Educação e Cultura",Geraldine Leal Martins,79.996.615.570
SIRIRI,Biblioteca Pública Municipal Professora Neuzisse Barreto Lima,"Praça Dr. Mario Pinoti, 316 - Centro","SecretarioaEsporte, Lazer, Turismo e Cultura",Diego Cardoso Andrade Oliveira,9 9847 9694
TELHA,Biblioteca Pública Municipal Wilio Dias Bezerra,Rua; José pereira da Silva,Educação,Paulo Sérgio Silva Souza,79.999.162.788
TOBIAS BARRETO,"Biblioteca Pública Municipal Francisco Barreto Do
Rosário",Praça da Bandeira 446 Centro,Secretaria Municipal de Cultura,Rosineide Ribeiro Dos santos,79.998.654.345
TOMAR DO GERU,Biblioteca Pública Municipal Padre Arnaldo De Matos Conceição,Praça da Bandeira,"Secretaria de Educação / Secretaria de
Administração",Iara Soares Costa,9 9831 4963
UMBAÚBA,"Biblioteca Pública Municipal Professor Clóvis Messias
Mendes","AV. Manoel Fernandes, S/N",Cultura,Angelita dos Santos,"79 35462179 / 79
996890311"
